DAMC02,AMCO OF BARNSLEY LTD
DASK01,ASK RENEWABLES LIMITED
CBAI01,BAILEY RENEWABLE SOLUTIONS
DC&S01,C&S SOLAR ELECTRICAL LTD
CASHA,CASH A CUSTOMER
DDAM02,DAM ELECTRICAL & SECURITY LTD
DECO03,ECO CCL LTD
DCECUTE,ECO CUTE 
DECO06,ECO ENERGY & PROJECTS
DCECO07,ECO FOOTPRINT
DECO05,ECO INFINITY LTD
DCEILTD,ECO INFINITY LTD ( cash )
DECO04,ECO PARTNERS LTD
DECO01,ECO RENEWABLES GROUP LTD
DECO07,ECOFOOTPRINT LIMITED
DEDE02,EDEN SOLAR LTD
DEFF02,EFFECTIVE ENERGY SOLUTIONS LTD
DEFF01,EFFECTIVE HOME LTD
DEGE01,E-GENER8 LTD
DCELI01,ELITE SOLAR
DENE01,ENERGY STORE (DORSET) LTD
DCFEC01,FEC RENEWABLES
DFIR,FIRST 4 SOLAR
DFLO01,FLO ENERGY
DFUT01,FUTURE POWER TEAM LTD
DGAS01,GASFAST LTD
DGBS01,GB SOLAR LTD
DGBS02,GB-SOL LTD
DGES01,GES MECHANICAL & ELECTRICAL LTD
DGRE02,GREEN BUILDING RENEWABLES
DGEP01,GREEN ENERGY POWER SOL. LTD
GRE08,GREEN GENERATION RENEWABLE SERVICES
DGRE08,GREEN VISION SOLUTIONS LTD
DGRE06,GREENER LIVING LTD
DGRE07,GREENFIELDS HEAT AND POWER LTD
DCHL01,HOME LOGIC
DCIES01,INTELLIGENT ENERGY SOLUTIONS
DIVO01,IVOLTZ LIMITED
DJAN01,JANICO OF YORK LTD
DKEN01,KERKYRA ENERGY LTD
DLIG01,LIGHT GROUP HOLDINGS LTD
DLOV01,LOVE SOLAR LTD
DMAR01,MARVEL HEATING & RENEWABLE ENERGY LTD
DCNAT01,NATIONWIDE RENEWABLES
DNEA01,NEAL ENERGY SOLUTIONS LTD
DP4T01,P4 TECHNOLOGIES GROUP LTD
DREN02,RENEWAFUEL HOME INNOVATIONS LTD
DSMA01,SMART ENERGY (GB) LTD
DSNU01,SNUG ENERGY LTD
DSOL02,SOLAR 365 LTD
DCSOLDY,SOLAR DYNAMIX
DSOL11,SOLAR FIXER
DSOL08,SOLAR GATEWAY LTD
DSOL10,SOLAR MADE SIMPLE
CA00SMY,SOLAR MAX YORKSHIRE LTD
CSOL01,Solar Safe UK
CASX01,SOLAR XPRESS
CSOL02,Solarion Solar Energy
DSOL01,SOLARTEX UK LIMITED
DSOL05,SOLCAP ENERGY
CSCAI01,STEVE CAIRNS
KOCH1,STEVE DEKOCH
DSWI02,SWITCH 2 SOLAR
CTRI01,Triple Solar
DTURPV,TURBINE MARKETING LTD
UKE01,UK ECO ENERGY SOLUTIONS LTD
DCWOR03,WORLD OF SOLAR
